GEOCODIGO,NOMBRE,CONECTAR,POB_2000,IDH_2002,AREA,PERIMETER,HECTARES,KM2,COD_MUNI,NP_MUNI,CAS_IND,CAS_APART,CAS_MESON,CAS_NOVIV,CAS_LBER,CAS_IMPV,CAS_OTRO,HOTEL,HOSPITAL,ASILO,POSTA,PRISION,OTRA_VIV_C,C_LAD,C_PIEDRA,C_BLOQUE,C_ADOBE,C_MADERA,C_BAHAREQE,C_PALO,C_MT_DESCH,C_OTR_MAT,C_LAD_1,C_PIEDRA_1,C_BLOQUE_1,C_ADOBE_1,C_MADERA_1,C_BAHARE_1,C_PALO_1,C_MT_DES_1,C_OTR_MA_1,T_TEJA,T_L_ASBEST,T_L_ZINC,T_CONCRETO,T_PAJA,T_MAT_DESC,T_OTRO_MAT,VIV_PER_PR,VIV_PER_AU,VIV_DES_AL,VIV_DES_TE,VIV_DES_RE,VIV_DES_CO,VIV_DES_OT,P_TIERRA,P_CEMENTO,P_MADERA,P_LAD_CEM,P_LAD_GRAN,P_LAD_BARR,P_CERAMICA,P_OTRO,SA_TUBERIA,SA_POZO,SA_BOMBA,SA_RIO,SA_LAGUNA,SA_VENDEDO,SA_OTRO,TB_EN_VIV,TB_F_VIV,TB_NT,LUZ_SIST_P,LUZ_SIST_1,LUZ_SIST_2,LUZ_GAS,LUZ_VELA,LUZ_OCOTE,LUZ_PANEL,LUZ_OTRO,BAS_CALLE,BAS_CARRO,BAS_DEPOS,BAS_QUEMA,BAS_PAGA,BAS_OTRO,PVIV_1,PVIV_2,PVIV_3,PVIV_4,PVIV_5,PVIV_6,PVIV_7,PVIV_8,PVIV_9,PVIV__10,VIV_HOG__1,VIV_HOG_2,P_DOR_1,P_DOR_2A4,P_DOR_5A9,P_DOR__10,P_COCI_SI,P_COCI_NO,P_COC_HO_1,P_COC_HO_2,EG_COC_LEN,EG_COC_KER,EG_COC_LPG,EG_COC_ELE,EG_COC_OTR,EG_COC_NOC,SSAN_IN_AL,SSAN_IN_PZ,SSAN_IN_RO,SSAN_IN_LT,SSAN_IN_NT,SSAN_EXCL_,SSAN_EXCL1,VEH_1,VEH__1,VEH_NT,AP_EL_RF,AP_EL_RF2,AP_EL_LVE1,AP_EL_LVE2,AP_EL_RAD1,AP_EL_RAD2,AP_EL_MCO1,AP_EL_MCS2,AP_EL_TV1,AP_EL_TV2,AP_EL_ACO1,AP_EL_ACO2,AP_EL_CPU1,AP_EL_CPU2,AP_EL_TEL1,AP_EL_TEL2,VIV_PROP,VIV_PPAG,VIV_ALQ,VIV_PRES,DISC_CG1,DISC_CG2,DISC_SORD1,DISC_SORD2,DISC_MUD1,DISC_MUD2,DISC_MIEM1,DISC_MIEM2,DISC_DFME1,DISC_DFME2,MG_MITCH1,MG_MITCH2,RELPAR_JEF,RELPAR_CON,RELPAR_HIJ,RELPAR_YER,RELPAR_NIE,RELPAR_PAD,RELPAR_HNO,RELPAR_SOB,RELPAR_OPA,RELPAR_EMP,RELPAR_NPA,RELPAR_VCO,SEX_H,SEX_M,ED_0A6,ED_7A12,ED_13A19,ED_20A25,ED_26A40,ED_41A63,ED__63,ET_GAR,ET_NEGI,ET_TOL,ET_PEC,ET_MIS,ET_LEN,ET_TWK,ET_CHT,ET_OTRO,LEE_1,LEE_2,ESTUD_1,ESTUD_2,EST_NING,EST_ALF_1,EST_ALF_2,EST_ALF_3,EST_PPRI_1,EST_PPRI_2,EST_PPRI_3,EST_PRIM_1,EST_PRIM_2,EST_PRIM_3,EST_PRIM_4,EST_PRIM_5,EST_PRIM_6,EST_PRIM_7,EST_PRIM_8,EST_PRIM_9,EST_SECC_1,EST_SECC_2,EST_SECC_3,EST_SCDV_1,EST_SCDV_2,EST_SCDV_3,EST_SCDV_4,EST_SNOU_1,EST_SNOU_2,EST_SNOU_3,EST_SNOU_4,EST_UNI_1,EST_UNI_2,EST_UNI_3,EST_UNI_4,EST_UNI_5,EST_UNI_6,EST_UNI_7,EST_UNI_8,EST_PUNI_1,EST_PUNI_2,EST_PUNI_3,EST_PUNI_4,EST_PUNI_5,TRAB_1,TRAB_2,SEMPAS_AAG,SEMPAS_TLL,SEMPAS_PVE,SEMPAS_LIC,SEMPAS_BTR,SEMPAS_BNT,SEMPAS_JUB,SEMPAS_REN,SEMPAS_EST,SEMPAS_QHG,SEMPAS_INC,SEMPAS_OTR,DESEM_EMPV,DESEM_EMPU,DESEM_PATR,DESEM_TIND,DESEM_TFAM,DESEM_DOM,DESEM_OTRO,CONY_ULIB,CONY_CAS,CONY_SEP,CONY_DIV,CONY_VDO,CONY_SOL,THIJO_1,THIJO_2,QHIJO_1A3,QHIJO_4A5,QHIJO_6A10,QHIJO__10,QHIJO_1A34,QHIJO_4A56,QHIJO_6A11,QHIJO__101,SQ_MILES,SQ_KM,POB_TOTAL,PREDOMINAN
,Lago de Yojoa,,0,0,80944479.2,58110.885,8094.355,80.94,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.253,80.944,0,Caucasicos
10100,La Ceiba,1,140931,0.772,654387277.3,118111.505,65438.004,654.38,101,0101 3:3La Ceiba,27537,3223,2319,128,45,362,326,19,0,2,4,1,31,308,116,25551,390,5851,415,151,362,796,308,116,25551,390,5851,415,151,362,796,191,4048,27195,858,482,362,804,27853,1719,1543,1090,281,936,518,3199,16740,1777,2874,1753,22,983,505,23253,1655,945,818,11,103,1068,15725,8800,3328,24113,142,18,1653,1717,47,7,156,803,19264,332,7237,95,122,3923,4670,4772,4958,4607,3143,1098,403,155,124,296,27557,10470,17235,465,4,24705,3469,24333,372,4103,3305,14921,4961,106,778,8523,11784,263,6054,1550,23598,3026,4476,1087,22611,17718,10456,4543,23631,22394,5780,6578,21596,21385,6789,2438,25736,1817,26357,7759,20415,17433,952,7676,2113,173,28001,206,27968,165,28009,346,27828,315,27859,1324,26850,28174,17299,56729,1495,9757,1465,3375,3152,2698,768,2043,635,61215,66375,22730,19466,21943,15713,24574,17567,5597,8440,2047,9,16,362,122,6,105,116483,97504,13869,41847,69526,10685,788,128,152,2568,788,1564,6572,6402,7547,5987,5929,25899,106,41,98,3819,4069,5558,2228,3685,7413,2401,170,191,400,436,743,745,709,860,1262,488,146,526,25,52,58,28,107,33631,71229,717,1608,496,858,740,449,965,468,31799,24692,1223,7214,20543,4085,1431,8648,837,1765,741,20219,22955,1865,876,2639,40090,28612,18526,17362,5816,4662,772,17362,5816,4662,772,252.659,654.387,127590,Negros
10300,Esparta,1,17614,0.609,460432382.4,163287.487,46042.729,460.43,103,0103 3:3Esparta,3442,3,5,15,6,25,90,0,0,0,0,0,12,1,6,1902,60,1028,266,81,25,217,1,6,1902,60,1028,266,81,25,217,81,206,1664,39,668,25,903,3014,410,47,34,13,40,28,910,1951,63,36,13,2,17,22,2240,255,36,320,7,4,152,779,1542,693,1260,5,8,1554,147,5,13,22,35,5,7,2792,24,151,426,1046,698,425,238,105,51,14,7,4,27,2987,1832,1192,17,0,2797,244,2766,31,2632,38,268,51,5,47,65,1380,2,633,961,2022,58,181,34,2826,625,2416,53,2988,1910,1131,502,2539,830,2211,53,2988,12,3029,61,2980,2431,26,148,436,22,3019,18,3023,31,3010,54,2987,31,3010,102,2939,3041,2096,7708,181,1481,192,186,189,244,35,133,0,7953,7533,3178,2985,2625,1427,2365,2156,750,151,3,8,0,2,23,0,1,15298,9837,3431,4281,8987,2826,142,69,10,266,31,49,1029,1291,1449,1051,890,3002,19,1,5,219,181,271,66,79,133,85,3,11,17,27,4,4,8,7,8,0,0,13,0,0,1,0,1,3540,8768,907,147,66,90,26,14,3,24,3537,3441,183,330,1752,233,214,1582,661,212,122,2932,1991,234,33,279,4332,3061,1681,1248,626,891,296,1248,626,891,296,177.773,460.432,15486,Caucasicos
10400,Jutiapa,1,30226,0.555,532382830.8,112497.199,53237.695,532.38,104,0104 3:3Jutiapa,5857,25,18,41,2,60,150,1,1,0,0,0,10,14,18,2369,1115,351,1464,190,60,572,14,18,2369,1115,351,1464,190,60,572,324,160,4022,65,1215,60,307,5109,258,155,158,10,109,354,2460,2413,72,88,26,0,11,39,3792,178,45,720,23,0,351,1052,2873,1184,1602,228,13,2987,222,5,32,20,578,28,54,4121,56,272,970,1971,1041,591,302,161,46,15,5,7,45,5064,3217,1919,21,0,4471,686,4404,67,4312,176,488,117,9,55,68,2352,6,867,1864,3179,114,357,33,4767,976,4181,103,5054,3064,2093,718,4439,977,4180,54,5103,27,5130,115,5042,4182,53,215,707,51,5106,80,5077,50,5107,94,5063,75,5082,230,4927,5157,3712,14202,316,2575,184,345,339,310,69,263,0,13952,13520,6173,5477,4716,2508,4027,3366,1205,998,27,1,0,11,203,2,23,26207,15951,7185,7400,15736,5711,275,93,71,581,108,259,2057,2166,2416,1745,1468,4413,74,47,16,321,294,312,93,129,229,106,6,11,9,14,10,16,18,14,13,21,6,7,2,0,0,0,5,6431,14868,946,138,73,81,44,29,16,27,6024,6328,310,852,1946,214,192,3796,1324,182,59,4398,4154,315,37,461,7362,5341,2852,2069,1085,1678,509,2069,1085,1678,509,205.553,532.383,27472,Garifuna
10500,La Masíca,1,25509,0.623,468440964,141335.347,46843.576,468.44,105,0105 3:3La Masica,4763,21,68,72,20,49,179,0,0,1,1,0,24,17,17,3276,30,1384,87,223,49,89,17,17,3276,30,1384,87,223,49,89,389,189,3704,70,464,49,307,4367,300,94,84,22,99,206,1093,2975,95,122,45,2,20,15,3571,127,29,487,2,8,143,1389,2262,716,2272,21,6,1553,459,13,19,24,176,259,69,3619,47,197,854,1337,889,588,380,197,67,30,14,11,38,4329,2461,1899,47,0,3879,528,3819,60,3356,137,689,140,13,72,208,2753,5,479,962,3291,154,375,68,3964,1301,3106,148,4259,2972,1435,818,3589,1670,2737,75,4332,41,4366,451,3956,3568,41,331,467,36,4371,46,4361,32,4375,79,4328,59,4348,218,4189,4407,2892,11299,289,2124,142,307,312,533,53,299,25,11375,11307,4907,4269,3918,2222,3523,2857,986,50,12,1,0,2,15,1,43,22558,14335,4894,6433,12796,4408,196,40,27,494,80,144,1425,1686,1927,1394,1183,3760,21,0,1,399,355,573,140,167,457,96,21,23,56,21,20,19,17,14,20,14,5,20,1,0,1,2,2,3386,14389,1675,502,112,71,46,46,24,20,4883,5810,276,924,1980,317,241,2152,862,151,89,3955,3347,326,77,405,6102,4451,2664,2050,871,1212,318,2050,871,1212,318,180.865,468.441,22682,Caucasicos
10600,San Francisco,1,11206,0.647,282272269,106244.877,28226.915,282.27,106,0106 3:3San Francisco,2557,9,9,14,3,12,41,0,0,0,0,0,0,2,2,1968,18,527,8,81,12,27,2,2,1968,18,527,8,81,12,27,61,68,2258,22,149,12,75,2215,132,59,54,15,67,103,293,1641,130,112,18,0,12,9,1940,41,37,104,5,1,87,755,1221,239,1438,19,3,529,207,1,0,18,72,23,27,1994,56,43,219,603,546,366,263,149,48,10,5,6,17,2198,1120,1092,22,0,2059,175,2022,37,1493,117,476,96,7,45,93,1336,3,563,239,1920,75,192,26,2016,815,1419,86,2148,1584,650,464,1770,1044,1190,40,2194,18,2216,17,2217,1742,18,201,273,25,2209,30,2204,24,2210,51,2183,33,2201,94,2140,2234,1426,5071,130,1098,86,190,124,211,16,97,0,5329,5354,2188,1855,1780,1088,1711,1495,566,10,22,13,26,10,59,6,52,10485,7311,1829,3171,5969,1542,103,41,18,241,69,129,720,722,840,670,542,1767,3,1,5,251,286,395,121,154,332,68,10,7,15,10,13,13,14,12,7,0,5,8,0,3,1,0,2,2526,5969,187,103,79,41,29,22,45,19,2541,2125,115,663,1437,240,129,693,274,146,46,2152,1443,199,34,216,2893,2205,1273,997,520,571,117,997,520,571,117,108.985,282.272,10683,Caucasicos
10700,Tela,1,82499,0.658,1156452440,294003.705,115643.968,1156.44,107,0107 3:3Tela,18012,563,565,105,19,95,254,20,1,4,1,3,35,111,93,12005,701,4399,643,848,95,718,111,93,12005,701,4399,643,848,95,718,665,2437,13792,527,1363,95,734,15766,917,681,795,148,513,793,3448,9622,1009,677,636,9,238,127,11643,1276,462,1953,16,36,380,7085,5843,2838,9052,112,94,4474,1671,14,265,84,860,4401,172,9849,157,327,2907,3914,2890,2471,2056,948,312,153,55,60,172,15594,7918,7841,194,1,12895,3059,12616,279,8688,1171,4572,1115,52,356,2760,7767,384,1968,3075,12163,716,1374,224,14356,6013,9941,852,15102,11427,4527,2948,13006,7935,8019,421,15533,306,15648,1842,14112,11627,288,2262,1777,122,15832,143,15811,134,15820,245,15709,188,15766,802,15152,15954,9617,36043,960,7287,746,1312,1532,1699,252,1184,445,38259,38772,14696,13476,13593,7742,12517,10682,4325,5975,420,3,9,71,265,1,18,70269,51961,14858,21817,45002,12306,556,113,83,1578,283,779,5029,5331,5798,4396,4078,15536,44,36,41,1492,1497,1994,692,1031,2402,451,54,57,126,111,116,149,127,117,148,104,29,107,4,1,7,4,12,17102,45233,2471,745,298,335,213,215,428,131,16282,19469,834,3812,8482,1503,712,7476,2051,687,253,12857,11646,1057,359,1618,23526,16263,9801,7956,3324,3992,991,7956,3324,3992,991,446.506,1156.452,77031,Garifuna
10800,Arizóna,1,20670,0.591,530805258.2,165192.052,53079.938,530.8,108,0108 3:3Arizona,4512,6,14,23,2,13,31,0,0,0,1,0,7,20,20,2997,248,796,310,58,13,139,20,20,2997,248,796,310,58,13,139,406,380,2953,100,298,13,451,3776,162,112,255,40,90,166,810,2606,98,119,104,2,7,30,3268,58,20,349,2,2,77,1687,1736,353,2476,135,9,977,155,3,3,18,177,29,6,3476,29,59,428,968,938,684,430,224,63,29,7,5,39,3737,2051,1732,33,0,3519,297,3447,72,3248,64,298,117,3,86,111,2290,11,709,695,3029,92,317,41,3458,1299,2517,129,3687,2505,1311,832,2984,1732,2084,89,3727,23,3793,40,3776,2996,45,272,503,28,3788,32,3784,35,3781,63,3753,45,3771,213,3603,3816,2376,9539,277,2087,169,271,341,523,72,189,0,9889,9771,4086,3705,3433,1899,2992,2582,963,9,5,33,26,23,378,31,141,19014,12441,4395,5564,11272,3588,160,41,31,447,65,138,1421,1620,1749,1217,1055,3666,32,20,13,293,255,329,108,116,242,87,6,7,15,13,16,17,20,14,10,8,3,13,0,0,0,0,1,4129,11445,750,152,69,116,46,40,19,27,4200,5105,263,658,2097,224,140,2234,323,171,73,3314,2885,385,58,386,5438,3980,2252,1703,821,1157,299,1703,821,1157,299,204.944,530.805,19660,Caucasicos
20100,Trujíllo,2,49109,0.659,955158240.5,220602.923,95514.777,955.15,201,0201 3:3Trujillo,9894,164,77,48,33,64,535,12,0,3,3,2,10,64,40,6451,283,643,1965,574,64,731,64,40,6451,283,643,1965,574,64,731,528,753,6779,310,1724,64,657,8383,601,228,585,81,432,505,2841,4761,194,335,95,0,77,80,6566,185,615,452,12,12,541,2490,4524,1369,4334,67,19,3102,755,37,13,56,463,639,95,6879,161,146,1390,2369,1742,1472,835,362,118,48,25,22,67,8316,4527,3836,96,0,7431,1028,7311,120,5654,293,2087,217,39,169,533,3219,281,2000,2426,5763,270,691,111,7657,2558,5901,310,8149,5604,2855,1330,7129,2666,5793,194,8265,138,8321,789,7670,6879,289,604,687,81,8378,109,8350,75,8384,117,8342,83,8376,363,8096,8459,5713,22133,390,3262,285,538,552,848,119,551,604,22070,21384,9174,8058,7683,4380,6803,5631,1725,2330,170,4,77,123,25,1,24,40700,27219,9825,13042,24002,7774,280,78,71,845,294,633,2948,3313,3587,2661,2342,7212,76,25,13,833,794,964,291,307,649,556,39,27,41,82,42,42,34,30,23,32,10,79,1,1,4,0,11,9278,25002,1389,389,155,192,114,115,71,66,9579,9917,442,2573,4428,974,349,4535,697,380,154,7349,6126,410,112,758,12727,8491,5119,3869,1883,2199,540,3869,1883,2199,540,368.787,955.158,43454,Garifuna
20200,Balfáte,2,11657,0.587,332909634.7,102626.625,33290.597,332.91,202,0202 3:3Balfate,2385,2,1,35,3,5,35,0,0,0,1,1,9,2,4,1195,344,227,418,32,5,239,2,4,1195,344,227,418,32,5,239,97,437,1283,22,576,5,46,1860,246,19,63,21,85,172,1086,721,20,26,0,1,4,2,1171,45,11,576,5,0,52,245,985,630,599,24,3,1132,92,0,9,1,361,13,9,1410,43,24,498,700,302,169,121,43,18,6,1,2,13,1847,1209,655,11,0,1695,180,1673,22,1546,37,249,15,7,21,44,632,2,361,836,993,46,61,14,1800,309,1566,22,1853,1265,610,194,1681,298,1577,3,1872,4,1871,9,1866,1625,23,75,152,20,1855,29,1846,19,1856,36,1839,16,1859,40,1835,1875,1128,5866,113,733,82,124,126,429,12,91,3,5443,5139,2547,2139,1783,942,1518,1253,400,744,49,6,1,2,7,0,0,9773,5546,3207,2454,6299,2799,129,15,20,159,21,31,727,895,960,616,471,1275,4,1,2,181,146,107,33,37,36,40,3,2,3,4,3,1,15,5,1,4,0,6,0,0,0,0,1,2437,5598,420,36,66,23,11,29,5,12,1817,2688,106,385,376,124,74,1692,619,88,20,1549,1642,92,21,182,2745,1865,1113,703,411,581,170,703,411,581,170,128.536,332.91,10582,Garifuna
