AMPID,TITLE,LATITUDE,LONGITUDE,TYPE,DESCRIPTION
ACID004,Programa de Desarrollo del Municipio de Amapala Fase II,13.29222,-87.65389,MULTISECTOR / CORTE CRUZADO,
ACID003,Programa de Desarrollo del Municipio de Amapala Fase I,13.29222,-87.65389,MULTISECTOR / CORTE CRUZADO,
ACID002,RehabilitaciÃ_n del Asilo San Felipe en Tegucigalpa - Fase II,14.0818,-87.20681,SALUD,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.55,-87.71667,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.8,-86.71667,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.76667,-87.43333,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.75,-87.43333,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.58333,-87.65,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.81667,-86.68333,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.65,-87.05,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.65,-87.06667,TRANSPORTE Y ALMACENAJE,
ACID006,Programa de ReconstrucciÃ_n tras el Paso de los Huracanes Beta y Gamma en Honduras,15.55,-87.65,TRANSPORTE Y ALMACENAJE,
ACID005,Apoyo al Instituto Nacional de la Mujer. Fase II,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
871711210388,Apoyo al Programa Red Solidaria de Honduras Fase I,14.25,-88.33333,MULTISECTOR / CORTE CRUZADO,
871711210388,Apoyo al Programa Red Solidaria de Honduras Fase I,14.58333,-88.3,MULTISECTOR / CORTE CRUZADO,
871711210388,Apoyo al Programa Red Solidaria de Honduras Fase I,14.11667,-88.25,MULTISECTOR / CORTE CRUZADO,
871711210388,Apoyo al Programa Red Solidaria de Honduras Fase I,14.51667,-88.36667,MULTISECTOR / CORTE CRUZADO,
ACID008,Apoyo al Programa de Red Solidaria Fase II,14.25,-88.33333,MULTISECTOR / CORTE CRUZADO,
ACID008,Apoyo al Programa de Red Solidaria Fase II,14.58333,-88.3,MULTISECTOR / CORTE CRUZADO,
ACID008,Apoyo al Programa de Red Solidaria Fase II,14.11667,-88.25,MULTISECTOR / CORTE CRUZADO,
ACID008,Apoyo al Programa de Red Solidaria Fase II,14.51667,-88.36667,MULTISECTOR / CORTE CRUZADO,
ACID009,Programa de Desarrollo Integral del Municipio de San Juan de Ojojona,13.93389,-87.29583,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14,-88.38333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",13.95,-88.28333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.03333,-88.33333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.33333,-88.16667,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.23333,-88.35,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.48333,-87.98333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",13.95,-88.36667,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.36667,-87.98333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.45,-88.3,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",13.96667,-88.48333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.56667,-88.11667,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.41667,-88.43333,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.11667,-88.25,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.35,-88.36667,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",13.9,-88.4,MULTISECTOR / CORTE CRUZADO,
ACID011,"Programa Liderazgo, InnovaciÃ_n, Desarrollo Local y Fortalecimiento Municipal en IntibucÃ¡",14.28333,-88.25,MULTISECTOR / CORTE CRUZADO,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14,-88.38333,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,13.95,-88.28333,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.03333,-88.33333,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.86667,-88.83333,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.36667,-87.98333,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.58333,-88.3,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.56667,-88.11667,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.11667,-88.25,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.35,-88.36667,AGRICULTURA,
ACID013,Programa de Apoyo a la ImplementaciÃ_n de Proyectos AgrÃ_colas en el Departamento de IntibucÃ¡,14.28333,-88.25,AGRICULTURA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.29222,-87.65389,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.23333,-88.7,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.30028,-87.19083,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.31667,-88.33333,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.45,-88.55,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.48417,-87.08917,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.58333,-87.61667,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.34979,-87.26118,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.46667,-88.6,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.94694,-87.32194,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.31111,-88.18056,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.93389,-87.29583,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.48167,-87.105,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,13.70083,-87.73028,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.5,-88.2,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.0818,-87.20681,INDUSTRIA,
ACID010,Programa de FormaciÃ_n y Fortalecimiento de Grupos Artesanales de TradiciÃ_n Lenca,14.28333,-88.25,INDUSTRIA,
ACID012,Programa de Fortalecimiento Institucional de la SecretarÃ_a TÃ©cnica de PlanificaciÃ_n y CooperaciÃ_n Externa (SEPLAN),15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
AECD094,GestiÃ_n del Patrimonio Cultural para el desarrollo local del municipio de San Juan Ojojona [2010],13.93389,-87.29583,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.5,-88.5,EDUCACION,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.92,-89.15,EDUCACION,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.58333,-88.58333,EDUCACION,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.45,-88.66667,EDUCACION,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.41614,-88.60126,EDUCACION,
AECD095,GestiÃ_n del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],14.4,-88.73333,EDUCACION,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],14.83333,-85.9,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],14.45139,-87.6375,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],14.92,-89.15,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],15.1,-88.76,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],15.43333,-87.91667,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],14.9,-88.05,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],15.76667,-88.03333,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352774,Proyecto de Fortalecimiento de la GestiÃ_n del Patrimonio Cultural [2011],15.88333,-85.83333,MULTISECTOR / CORTE CRUZADO,
AECD101,"Apoyo al Plan de Igualdad y Equidad de GÃ©nero de Honduras 2010-2022 en el Eje de PromociÃ_n, ProtecciÃ_n y GarantÃ_a de Derecho a la Paz y una Vida Libre de Violencia",14.08333,-87.21667,GOBIERNO Y SOCIEDAD CIVIL,
AECD101,"Apoyo al Plan de Igualdad y Equidad de GÃ©nero de Honduras 2010-2022 en el Eje de PromociÃ_n, ProtecciÃ_n y GarantÃ_a de Derecho a la Paz y una Vida Libre de Violencia",14.13333,-87.21667,GOBIERNO Y SOCIEDAD CIVIL,
AECD101,"Apoyo al Plan de Igualdad y Equidad de GÃ©nero de Honduras 2010-2022 en el Eje de PromociÃ_n, ProtecciÃ_n y GarantÃ_a de Derecho a la Paz y una Vida Libre de Violencia",15.67,-86.76,GOBIERNO Y SOCIEDAD CIVIL,
87171125012,Derechos Civiles y PolÃ_ticos de las Mujeres,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171125012,Derechos Civiles y PolÃ_ticos de las Mujeres,15.67,-86.76,GOBIERNO Y SOCIEDAD CIVIL,
87171125012,Derechos Civiles y PolÃ_ticos de las Mujeres,15.75971,-86.78221,GOBIERNO Y SOCIEDAD CIVIL,
87171125012,Derechos Civiles y PolÃ_ticos de las Mujeres,14.76667,-88.78333,GOBIERNO Y SOCIEDAD CIVIL,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.5,-88.5,MULTISECTOR / CORTE CRUZADO,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.58333,-88.58333,MULTISECTOR / CORTE CRUZADO,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.45,-88.66667,MULTISECTOR / CORTE CRUZADO,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.41614,-88.60126,MULTISECTOR / CORTE CRUZADO,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.4,-88.73333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.5,-88.5,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.58333,-87.25,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.45,-87.63333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.09,-86.37,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.58333,-88.58333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],13.95,-87.33333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.26667,-87,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.1,-87.1,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.15,-87.03333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],13.95,-86.83333,MULTISECTOR / CORTE CRUZADO,
871711610687,"Asistencia TÃ©cnica, Fortalecimiento de Capacidades para el AnÃ¡lisis y Alinemiento de la CooperaciÃ_n para el Desarrollo, Seguimiento y EvaluaciÃ_n de Programas y Proyectos.",15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
AECD080,ConstrucciÃ_n del Plan Maestro (Director) del Ancatarillado Sanitario en Santa Rosa de CopÃ¡n,14.76667,-88.77917,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.4,-87.73333,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.38333,-87.7,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.45,-87.63333,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.36667,-87.5,AGUA Y SANEAMIENTO,
