AMPID,TITLE,LATITUD,LONGITUD,TYPE,DESCRIPTION
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.46923,-84.34479,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.5,-87.68333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.28333,-87.63333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.5,-87,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.71667,-87.68333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.36667,-88.55,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.5,-84.8,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.78333,-87.65,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.13333,-88.2,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.31667,-87.21667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.83333,-88.83333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.18333,-88.13333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.21667,-86.98333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.55,-88.84,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.65,-88.83333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.88333,-88.81667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.85,-88.81667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.05,-85.27,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.63333,-86.81667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.3,-87.01667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.08333,-87,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.65,-87.41,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.59,-87.7,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.98,-88.17,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.23333,-87.76667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.03,-88.11,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.58333,-85.21667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.91676,-84.9099,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.18333,-87.61667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.61667,-87.63333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.7,-88.61667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.66667,-88.91667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.26,-88.66,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.58333,-86.9,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.51667,-87.5,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.16667,-87.13333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.46667,-87.1,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.56667,-87.3,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.26,-88.24,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.16667,-84.08333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.35,-88.4,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.81667,-88.93333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.61667,-87.6,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.9,-88.71667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.78333,-88.68333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.41614,-88.60126,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.41667,-86.83333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.61667,-88.8,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.23333,-87.63333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",13.3,-87.11667,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.66667,-88.7,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",14.9,-88.78333,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.08472,-83.35361,MULTISECTOR / CORTE CRUZADO,
8717117012662,"""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",15.18333,-84.61667,MULTISECTOR / CORTE CRUZADO,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,15.66667,-87,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,13.33333,-87.08333,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.91667,-88.91667,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.08333,-87.91667,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.5,-89,GOBIERNO Y SOCIEDAD CIVIL,
87171121455,[Bono 10 Mil] Programa de Apoyo a la Red De Protecci•À_n Social,14.83333,-86,GOBIERNO Y SOCIEDAD CIVIL,
